label,id,name,username,bio,location,url,join_date,join_time,tweets,following,followers,likes,media,private,verified,profile_image_url,background_image,color_number,face_detection,follower/following_ratio,b_key_count,i_key_count
individual,2418294356,Ravi Gajula,RavikGajula,President & CEO at AGM Industries Inc,,https://www.linkedin.com/in/ravi-gajula-888a9521,3/29/14,19:13:00,0,192,38,1,0,0,0,https://pbs.twimg.com/profile_images/721048313454333952/fJOci8K8_400x400.jpg,,45245,0,0.197916667,0,0
individual,3031490853,Charlotte Petris,charpetris,Founder & CEO @Timelio. Obsessed with ~doing it different~ in the world of finance.,"Melbourne, Australia",http://timelio.com.au,2/11/15,15:04:00,815,413,719,484,82,0,0,https://pbs.twimg.com/profile_images/565649457882992640/SCpVIQZb_400x400.jpeg,https://pbs.twimg.com/profile_banners/3031490853/1423701276/1500x500,20604,1,1.740920097,1,0
individual,366255848,Steve Hodgdon,SteveHodgdon,"CEO of Modern Asset Management, 30 year collection veteran",,http://www.modernassetmanagement.com,9/1/11,14:14:00,1147,307,206,290,579,0,0,https://pbs.twimg.com/profile_images/1566925877/162fc46_400x400.jpg,,44848,1,0.671009772,0,0
individual,7.00E+17,Swati Patel,SwatPat1010,Product Marketing Manager @Linkedin | @Wharton MBA | Founder @CCWharton | @InSITEFellows | Former VP @JPMorgan | Economics @NYU,,,2/17/16,16:44:00,111,371,92,104,1,0,0,https://pbs.twimg.com/profile_images/891862036686061568/DjiFwCd0_400x400.jpg,https://pbs.twimg.com/profile_banners/700118704621821954/1490820074/1500x500,22617,1,0.247978437,0,0
individual,18910068,Kenneth Holley,kennethholley,It's all about who you know and who you trust ___Î¢_—_’öÎåÎŒÎ¢ There's never any rest for the terminally ambitious ___Î¢_—_’öÎåÎŒÎ¢ CEO @silentquadrant ___Î¢_—_’öÎåÎŒÎ¢ Angel investor ___Î¢_—_’öÎåÎŒÎ¢ Former @USNavy,"Washington, DC  ___Î¢_—_’öÎåÎŒÎ¢  Austin",http://silentquadrant.com,1/12/09,10:41:00,33693,13006,56301,17832,286,0,0,https://pbs.twimg.com/profile_images/840923965635854336/MNxnepsk_400x400.jpg,https://pbs.twimg.com/profile_banners/18910068/1498315990/1500x500,44436,1,4.328848224,0,1
individual,209992050,Somnath Lahiri,somnathl,@Product @Tech @Management Consultant @Engineer @Founder,,,10/30/10,2:47:00,20,102,40,4,0,0,0,https://pbs.twimg.com/profile_images/696388589492576256/p3kZhzU0_400x400.jpg,,38129,1,0.392156863,0,0
business,1.13E+18,LENDVER,LendverLLC,BORROW CONFIDENTLY. We___Î¢_—_’öÎå_—_’•Î¢ve done the research for you. No forms to fill out. No personal information required. Just free reviews.,,https://www.lendver.com/,5/29/19,7:32:00,2,22,2,0,1,0,0,https://pbs.twimg.com/profile_images/1133758598549524483/Yf4SQ5U5_400x400.png,https://pbs.twimg.com/profile_banners/1133742841899999233/1559141341/1500x500,510,0,0.090909091,0,0
business,8.89E+17,Lendtek,Lendtek,Business Loans ___________èÎŒ’™ÎŒÎç See What Lenders You Match With! Download our App in the Apple store or Google play today! Link below ___________è_—_’Ü’__—_’ÜÎç,,https://www.lendtek.com/lendtekapp,7/23/17,17:46:00,26,373,50,24,2,0,0,https://pbs.twimg.com/profile_images/948676616145678336/wrs5yQsk_400x400.jpg,https://pbs.twimg.com/profile_banners/889285629279965184/1547170569/1500x500,4565,0,0.134048257,0,0
business,1.01E+18,CitizenCreditScore,citizen_score,Citizen Credit Score provides value to individual impact while encouraging and empowering citizens to change their world | #CitizenCreditScore #SDGs,,http://www.CitizenCreditScore.com,6/11/18,10:43:00,4,925,38,217,3,0,0,https://pbs.twimg.com/profile_images/1128464727120732161/SchTsk7Y_400x400.jpg,https://pbs.twimg.com/profile_banners/1006230454062723073/1558501792/1500x500,254,0,0.041081081,1,0
business,1.10E+18,Hirezones,Hirezones1,,,,2/21/19,22:13:00,0,3487,105,2,0,0,0,https://pbs.twimg.com/profile_images/1098837786583429120/zm5IAHFI_400x400.png,,1356,0,0.030111844,0,0
business,7.42E+17,Bitexpress,BitexpressBTMs,User friendly Bitcoin ATMs with competitive fees and great locations!,,http://www.bitexpress.com,6/13/16,15:39:00,134,1238,434,3,89,0,0,https://pbs.twimg.com/profile_images/800440770826211328/Iv1FlNLj_400x400.jpg,https://pbs.twimg.com/profile_banners/742486569676836864/1479675932/1500x500,3628,0,0.350565428,0,0
business,8.10E+17,Thistle-at-Law,WallyStummy,Free trade theory depends on the assumption that jobs lost to offshoring will be replaced by better ones. True in 1900 for farm-to-factory but false today.,Appalachian ___’öÎŒ_—____________èÎŒ’å___’_ & NYC-at-law,,12/16/16,14:26:00,41375,4667,850,47143,89,0,0,https://pbs.twimg.com/profile_images/931610127450411010/Az5M0T6n_400x400.jpg,,58670,0,0.182129848,0,0
business,59828496,Cardlytics,cardlytics,Cardlytics (NASDAQ: CDLX) uses purchase intelligence to make marketing more relevant and measurable.,,http://www.cardlytics.com,7/24/09,9:46:00,1650,871,2435,792,228,0,0,https://pbs.twimg.com/profile_images/1045719128978350080/1kgcvCtY_400x400.jpg,https://pbs.twimg.com/profile_banners/59828496/1538066827/1500x500,2189,0,2.795637199,0,1
